Age,StressLevel,PhysicalActivity,CaffeineIntake,ScreenTime,SleepDuration,SleepQuality
57,9,1,159,4,6.02,52.84
20,7,0,10,4,6.33,52.73
46,9,2,137,5,6.4,44.67
58,8,1,77,7,6.1,46.02
46,2,1,76,6,7.2,70.16
51,1,5,253,7,6.93,71.79
51,7,0,257,1,5.1,49.91
45,7,1,319,3,4.85,55.61
30,8,5,290,4,6.5,56.72
32,5,2,262,7,6.28,56.08
40,3,3,84,1,7.8,76.09
61,8,0,145,4,6.11,48.76
43,6,7,322,3,6.84,61.23
21,3,6,41,7,8.07,79.74
43,1,6,373,4,7.35,72.09
57,3,2,124,6,7.46,67.93
26,5,9,166,8,7.28,77.53
22,3,9,240,6,7.28,74.34
49,1,2,279,5,6.95,74.53
37,5,1,187,5,5.99,61.53
28,10,0,301,4,5.09,41.53
32,7,6,18,8,7.06,64.41
49,7,6,67,1,7.47,70.82
45,9,1,217,6,5.59,44.46
39,10,6,101,1,6.14,58.53
58,10,7,41,8,6.9,54.58
34,3,0,287,1,7.03,62.96
43,7,8,166,8,7.59,66.45
61,1,6,108,4,8.15,75.06
24,4,2,35,1,7.46,76.46
59,4,7,231,6,6.56,71.35
43,5,6,228,3,7.79,70.69
42,7,10,352,5,6.82,69.06
27,7,7,163,3,7.16,65.78
62,4,5,386,1,6.63,70.2
36,7,8,72,3,7.3,63.16
28,3,4,135,6,7.49,68.07
30,6,2,352,6,5.29,55.32
25,2,2,378,1,7.54,63.06
57,10,0,69,4,6.68,47.73
21,9,7,195,3,6.49,56.86
64,5,1,268,4,5.81,57.21
48,6,2,48,4,5.87,60.07
45,4,7,315,8,6.03,57.91
28,10,7,129,2,7.16,62.66
60,7,10,4,1,8.22,80.13
18,9,3,26,5,6.78,58.18
64,7,3,159,6,5.43,59.6
55,1,4,148,6,7.21,81.89
41,1,5,263,1,8.26,82.28
64,9,4,229,8,5.75,52.67
48,9,6,199,7,5.58,47.45
58,4,1,49,7,6.76,67.37
63,9,6,66,7,6.23,58.62
43,3,9,299,8,7.26,72.4
22,7,6,380,5,6.14,58.12
37,6,0,57,6,6.72,51.49
58,8,6,258,1,6.06,56.58
28,9,4,341,8,5.24,51.52
50,5,2,325,6,6.58,54.01
55,1,2,129,4,6.71,74.82
44,3,3,214,3,6.53,64.97
51,10,1,171,3,5.97,39.76
32,8,1,257,8,5.65,42.65
49,6,0,101,6,6.07,53.26
38,8,4,208,2,6.36,58.97
63,9,3,290,5,6.01,47.64
22,4,10,353,7,7.41,82.36
23,1,9,285,5,7.14,80.46
55,1,1,115,5,7.41,80.75
39,10,2,263,8,6.07,46.92
35,4,6,149,4,7.3,77.1
31,7,6,299,5,5.83,57.15
27,2,3,35,3,7.15,72.04
63,3,4,332,4,6.63,69.63
30,1,4,286,1,7.91,84.21
48,5,5,302,5,6.52,71.18
47,1,8,310,5,7.57,74.85
20,8,1,207,1,5.72,53.87
47,1,4,105,5,8.11,73.83
23,1,2,157,1,6.97,76.22
46,2,3,120,4,7.13,78.12
25,2,9,54,3,8.69,85.68
61,6,5,399,1,5.4,58.41
62,7,7,11,2,7.68,77.25
60,5,0,144,8,5.66,55.93
61,1,9,399,8,7.1,75.98
50,1,7,395,1,7.25,77.99
34,3,10,135,8,8.76,84.42
65,2,6,2,5,7.82,82.31
28,5,0,143,7,7.18,67.11
30,10,1,29,7,6.27,46.24
28,6,2,236,8,5.59,39.85
48,7,0,278,4,5.96,37.77
45,4,8,347,6,6.69,71.11
61,7,7,114,4,7.25,73.68
23,8,1,103,6,5.77,46.79
58,1,8,117,7,8.74,92.89
33,6,6,4,7,7.71,75.49
21,8,8,359,1,6.62,64.18
52,5,5,247,3,7.73,69.79
65,4,5,363,2,6.79,72.58
43,2,10,320,4,8.17,90.85
29,6,3,120,5,6.72,64.71
28,6,9,285,6,7.04,66.59
54,1,9,148,8,7.81,85.12
42,9,1,83,5,6.17,52.5
35,6,6,230,3,6.98,71.02
36,3,4,287,6,6.35,57.74
40,4,10,160,4,7.6,81.78
55,4,5,271,1,7.0,74.67
35,3,1,37,5,7.27,68.83
43,10,4,225,3,6.05,54.87
23,3,9,141,4,8.47,91.58
21,3,3,291,7,6.9,62.86
61,4,8,150,7,7.25,75.86
46,7,5,113,4,7.58,71.64
51,4,1,236,4,7.43,62.53
34,9,0,65,4,5.11,45.61
60,1,4,360,6,7.24,72.48
60,8,8,340,4,6.07,48.19
33,7,5,257,5,6.78,46.3
19,2,9,248,3,8.42,84.93
51,8,6,330,6,5.61,41.18
25,1,4,322,4,6.12,66.96
30,9,9,179,2,7.45,63.93
59,9,5,189,8,6.11,45.72
25,2,4,153,2,6.73,77.87
47,7,10,195,3,8.59,77.21
49,10,8,310,7,6.28,50.79
53,3,5,261,1,7.62,71.47
64,7,10,142,1,8.33,83.01
47,10,7,341,8,5.39,38.23
18,9,1,315,7,5.33,40.96
60,4,8,100,6,6.92,67.7
56,1,4,243,6,6.82,74.17
34,2,6,11,6,8.1,78.88
37,1,9,238,1,7.3,94.97
41,5,0,48,2,6.63,69.16
39,5,9,41,1,7.66,80.53
46,7,4,165,5,6.61,54.86
39,9,9,81,4,7.45,64.19
61,9,1,290,6,5.79,51.48
26,3,5,157,2,8.02,85.39
54,3,10,215,3,8.55,78.21
27,3,0,157,8,6.74,63.29
53,4,2,133,3,7.94,59.45
54,8,4,66,4,6.82,57.98
45,6,3,335,2,6.21,54.71
45,8,2,6,1,7.25,68.27
59,1,9,13,1,8.7,89.86
60,8,4,72,5,7.59,60.69
38,4,10,398,5,7.57,71.56
41,1,7,162,1,8.5,87.36
59,8,10,65,3,7.63,80.91
57,4,3,346,8,5.88,64.82
19,6,0,129,6,6.58,53.41
25,8,10,205,3,6.58,66.62
65,4,6,275,8,7.42,56.02
44,3,7,255,5,7.14,73.43
39,9,2,265,4,5.93,57.42
54,3,5,24,8,6.98,71.64
44,9,1,280,1,6.21,53.54
46,2,6,252,5,7.04,67.75
20,2,7,309,5,7.54,72.66
61,2,5,288,6,7.33,72.67
30,6,5,163,1,6.81,70.14
62,3,4,94,6,6.71,75.5
27,9,7,269,1,7.37,58.02
53,4,0,320,6,5.86,45.65
26,1,9,109,8,8.08,88.54
44,4,3,335,3,6.76,59.17
51,1,3,309,4,6.34,74.66
18,5,2,237,4,6.69,62.74
49,4,2,380,1,6.47,55.38
42,8,3,386,2,5.52,57.07
46,8,10,389,7,5.69,54.0
24,7,0,24,5,6.78,56.06
20,3,10,140,5,8.49,80.51
37,1,10,116,1,8.71,100.0
37,1,1,391,8,5.44,66.79
47,3,8,24,6,7.43,71.62
52,6,9,78,2,7.57,89.15
52,7,1,67,3,7.41,55.9
56,6,4,172,6,6.46,70.55
44,6,8,11,6,7.31,70.79
43,6,8,287,1,6.28,69.59
31,3,7,127,1,7.6,82.05
34,6,0,95,8,5.56,50.15
35,8,0,91,5,5.63,63.39
62,2,8,140,1,8.22,87.32
46,5,10,30,1,8.08,84.09
37,1,7,333,1,8.46,83.5
44,1,9,19,8,8.77,80.79
35,5,8,145,5,7.07,80.54
21,3,6,315,3,6.63,65.49
18,4,2,389,3,6.92,57.36
18,3,2,159,7,7.58,69.01
43,1,1,348,7,5.27,63.07
62,1,4,42,1,8.17,89.19
37,5,2,253,7,6.05,63.18
40,6,5,129,5,7.24,69.65
27,3,1,59,8,7.82,64.72
28,9,2,150,3,5.96,63.05
58,5,4,286,6,5.36,56.48
58,8,10,4,3,8.04,73.88
22,1,10,265,3,8.71,87.4
18,5,0,344,5,5.67,51.67
34,3,0,129,7,6.25,56.28
39,1,9,381,6,7.09,69.85
51,4,8,266,5,7.59,74.01
62,5,6,177,1,7.13,70.82
58,7,0,252,8,5.72,53.98
46,1,7,55,4,8.22,86.59
21,3,2,82,3,7.27,71.38
22,2,7,392,4,7.39,79.31
28,9,4,98,8,5.96,52.27
38,10,0,148,8,5.2,37.68
52,6,6,328,5,6.83,57.26
29,10,4,155,5,5.62,68.34
43,3,5,189,5,6.74,73.64
36,8,5,370,4,5.34,58.32
62,8,7,262,5,6.88,53.13
24,2,8,79,8,7.73,76.14
64,6,1,399,1,5.29,65.89
24,7,8,251,5,7.18,70.35
43,2,10,96,2,8.17,93.41
57,10,9,259,7,5.81,51.02
22,2,8,259,4,7.47,78.46
38,10,9,102,2,7.85,61.76
31,1,9,39,5,8.22,83.75
21,8,6,272,8,6.35,56.26
40,1,0,100,1,7.83,80.19
59,9,6,358,3,6.28,57.24
37,6,9,379,6,7.2,61.15
32,7,4,307,7,5.6,52.77
62,10,5,220,6,5.44,46.24
46,7,9,307,5,6.18,59.85
25,10,6,123,7,6.22,59.95
58,3,4,230,7,6.31,66.41
65,2,6,177,1,7.88,85.53
36,9,8,62,7,6.9,64.22
65,8,2,115,4,6.88,55.82
56,10,7,190,2,6.76,60.1
63,7,1,61,2,6.52,55.54
45,9,10,255,2,7.13,60.87
63,4,6,6,4,7.27,72.88
44,4,1,154,6,6.56,64.21
21,1,3,91,1,8.02,83.52
32,8,6,13,7,6.99,56.43
52,3,2,228,4,6.99,69.66
54,7,1,85,2,6.33,62.97
18,2,10,132,5,8.68,82.07
20,2,9,182,3,8.91,85.1
64,7,6,385,7,5.15,55.49
41,6,0,61,4,5.99,54.88
44,3,7,218,8,7.12,72.89
57,9,2,245,4,5.71,49.76
53,10,1,229,1,6.8,43.43
51,6,2,78,1,7.14,67.86
46,10,4,148,4,6.91,53.59
41,10,10,137,2,6.1,62.76
41,6,7,313,3,7.17,62.97
59,1,9,375,7,6.89,71.41
21,4,6,388,1,6.51,68.42
20,10,6,64,7,6.34,53.32
51,6,6,12,2,6.91,71.72
40,6,7,212,7,6.97,55.32
40,5,0,241,5,6.22,51.83
62,1,3,212,1,7.63,77.45
22,8,5,180,2,7.14,65.68
48,5,8,337,2,7.8,74.26
58,5,1,172,3,6.43,66.32
23,7,0,159,3,6.47,51.03
54,4,9,163,5,7.74,77.52
27,6,1,187,2,6.69,48.07
57,4,6,394,6,6.65,65.12
24,3,2,190,2,7.86,73.95
56,7,9,307,3,6.64,64.73
55,8,1,255,6,4.91,47.63
38,4,10,182,1,7.63,76.47
37,2,6,116,1,8.37,80.81
20,10,1,281,7,5.23,41.7
39,3,2,195,4,6.65,70.31
64,1,10,33,3,8.17,92.45
21,8,6,51,4,7.16,68.33
45,3,3,111,6,7.42,69.76
29,10,0,251,3,5.66,40.45
55,7,4,81,5,6.66,60.36
53,10,8,231,2,6.68,57.19
64,5,7,226,5,7.08,62.4
58,10,8,232,6,6.38,59.72
22,5,9,220,3,6.84,72.26
30,7,8,41,8,7.25,61.01
40,9,6,20,6,6.61,51.55
47,5,3,41,8,7.37,48.99
54,1,4,396,2,7.05,77.83
42,10,0,112,1,6.5,54.11
65,10,0,104,1,5.96,56.35
44,1,2,191,6,6.9,70.12
31,2,7,16,4,8.92,83.51
65,6,1,119,3,6.84,58.19
64,9,3,392,3,5.24,45.06
53,8,1,128,1,6.9,63.06
56,5,4,129,7,6.52,62.7
33,1,8,59,5,8.35,89.02
39,7,0,47,7,7.17,49.88
38,5,4,28,2,6.77,79.96
38,6,8,96,5,7.28,61.5
25,7,0,9,5,6.73,50.13
33,3,8,241,6,7.69,76.07
48,10,7,313,1,5.7,65.46
59,3,3,231,7,5.89,62.84
27,5,10,276,7,7.61,65.01
49,6,9,283,1,6.89,78.21
51,9,4,202,7,5.58,50.26
26,5,4,246,8,7.13,64.27
34,1,10,289,1,8.14,83.38
28,4,5,263,6,6.77,71.17
49,5,6,213,4,6.92,60.67
27,10,7,199,5,5.73,52.69
39,10,7,78,6,6.96,58.32
34,5,10,400,3,7.21,72.43
21,7,1,342,2,5.97,57.84
65,4,8,343,4,6.95,61.98
64,1,6,172,3,7.67,83.85
42,5,3,68,5,7.46,71.86
38,7,3,86,7,6.42,56.62
54,10,10,100,1,7.29,62.79
55,10,7,7,5,7.18,64.93
18,6,3,332,6,6.09,50.2
42,5,5,199,2,7.91,65.91
53,4,4,86,6,6.26,63.87
34,2,2,42,4,7.64,74.35
58,4,9,384,4,6.66,72.6
41,10,10,108,2,6.74,60.41
19,10,1,151,8,5.3,34.95
57,3,8,16,3,8.25,81.95
32,10,9,132,3,6.99,57.97
49,1,8,147,4,7.29,86.17
56,8,0,276,4,5.38,48.53
23,5,9,231,7,7.22,69.89
18,4,2,313,1,6.18,66.84
64,8,7,365,7,5.43,60.5
40,7,5,227,7,5.18,57.81
56,2,4,138,8,6.79,73.98
34,1,4,398,3,6.32,70.69
51,4,5,210,8,6.24,68.42
58,8,6,390,8,5.57,45.79
46,2,0,27,2,7.16,77.25
26,3,8,50,3,7.54,77.54
30,1,2,260,1,6.17,77.13
23,1,3,260,6,7.1,65.72
23,3,9,349,4,7.64,80.41
37,5,0,351,4,5.68,57.85
20,3,10,7,1,8.52,89.96
34,1,9,319,8,7.33,86.88
29,1,2,137,7,7.91,69.56
65,8,1,37,2,5.87,50.63
64,10,1,110,8,5.44,37.6
62,2,0,367,4,5.42,56.77
18,3,7,219,5,7.51,76.43
34,2,2,336,7,6.3,55.84
20,3,2,222,4,6.91,64.24
43,7,5,135,5,6.82,63.02
32,1,7,255,8,7.78,75.64
53,10,8,359,1,6.57,57.07
49,8,8,328,1,7.11,64.69
49,10,3,48,7,5.62,46.61
21,10,4,291,4,6.38,39.45
35,10,1,381,3,4.88,38.89
36,2,10,323,5,7.2,82.15
60,3,8,77,2,8.25,84.41
52,9,7,104,4,7.01,63.44
57,7,2,168,2,5.99,56.63
31,4,10,216,4,7.55,83.49
50,10,8,377,3,6.83,40.81
31,5,2,118,3,6.16,66.27
51,2,8,189,7,8.28,83.97
21,8,1,254,7,5.48,52.17
41,4,9,369,3,5.96,72.47
46,9,8,265,6,5.65,48.82
36,5,7,148,3,6.92,80.49
23,9,8,163,1,6.73,65.75
50,4,4,139,1,7.33,73.74
57,10,10,346,6,4.83,49.16
36,5,10,257,8,7.13,62.04
18,9,1,373,5,4.72,43.93
22,8,7,268,8,6.89,56.91
44,3,5,180,2,7.31,77.61
33,1,7,159,8,8.04,74.01
23,3,10,350,4,7.94,72.18
57,4,4,399,8,6.58,49.07
30,2,9,287,4,7.32,77.79
65,1,1,287,6,6.34,61.16
52,7,5,379,1,6.22,51.58
36,8,4,225,7,6.36,54.21
29,7,4,10,4,6.82,58.3
33,5,0,9,1,7.08,73.15
60,1,1,270,5,6.9,70.17
27,7,7,272,2,6.36,66.91
42,7,2,182,5,5.76,62.97
37,9,9,152,6,6.71,54.21
48,3,2,314,8,6.2,62.55
21,9,7,333,8,6.07,47.12
61,1,7,123,3,8.42,99.27
40,1,1,113,3,6.84,74.01
19,4,7,277,3,6.76,70.08
39,9,10,212,5,6.33,64.27
54,6,0,171,4,6.97,54.83
25,3,5,287,2,7.07,69.6
24,1,7,173,3,7.94,80.06
31,4,2,112,6,6.85,71.53
20,9,7,375,6,5.53,44.53
33,3,0,121,3,7.73,68.99
36,9,10,31,8,7.32,68.35
35,7,10,221,3,7.27,76.39
33,4,8,118,2,7.29,77.85
25,3,10,38,3,7.82,87.33
50,10,8,267,2,6.34,56.39
29,5,4,232,6,6.2,53.56
28,5,9,17,3,7.51,83.88
22,3,3,148,5,6.88,69.65
44,9,10,396,7,5.99,60.82
29,4,5,148,5,7.23,65.94
34,5,6,125,6,6.86,73.49
23,4,4,391,2,6.04,71.27
50,5,10,301,5,6.66,71.71
22,7,9,359,2,7.4,55.58
45,9,8,237,5,5.87,55.23
31,7,2,134,5,6.57,65.01
22,5,6,150,2,7.62,74.79
50,10,9,235,4,6.49,61.62
65,10,9,223,5,7.39,56.56
58,7,10,202,3,7.55,70.32
36,10,4,255,7,6.58,34.71
39,5,6,85,6,6.91,73.22
22,3,1,149,4,6.59,72.73
19,7,3,234,2,6.71,54.63
47,2,1,344,4,6.34,63.59
64,9,6,21,1,8.07,65.1
56,10,1,347,1,5.67,46.99
21,10,10,284,5,5.93,54.26
50,1,0,268,5,5.78,71.12
30,6,8,257,3,7.01,69.55
37,7,0,28,7,6.26,39.91
24,8,7,212,6,6.68,60.45
32,10,1,282,4,6.06,47.32
40,9,7,49,1,7.8,61.87
31,2,2,94,5,6.97,74.32
40,10,5,87,8,5.55,58.54
36,2,2,43,8,6.55,69.87
46,5,6,277,6,6.29,69.2
37,5,9,170,4,7.32,72.89
46,6,8,188,5,7.25,68.17
41,3,1,352,5,5.81,58.72
35,8,4,183,1,6.79,59.27
27,1,5,2,1,8.55,88.7
58,6,3,190,5,6.56,51.05
25,4,3,117,2,6.68,70.24
43,1,3,18,5,7.99,86.05
46,7,1,22,6,7.56,51.32
27,9,3,29,5,6.65,49.7
34,4,10,294,3,6.0,77.99
19,4,0,107,7,7.14,59.85
23,6,5,366,3,6.01,62.41
22,3,0,280,3,7.6,62.53
45,6,9,127,2,7.7,76.75
58,7,5,228,2,5.86,61.41
22,10,0,110,8,4.5,33.32
35,10,5,135,5,7.06,52.09
43,3,9,361,3,7.86,80.49
37,7,7,185,2,8.19,70.63
58,3,10,143,1,8.25,79.49
44,2,1,71,5,7.18,72.43
29,10,1,128,6,5.56,39.5
24,4,3,363,7,5.78,63.97
20,8,10,260,4,6.7,66.83
27,9,2,2,5,6.59,58.52
51,7,3,387,4,5.41,51.9
42,1,6,103,3,7.19,84.88
52,3,10,223,7,7.6,84.29
33,9,0,319,4,4.94,47.29
19,1,5,361,3,5.51,76.26
41,9,2,353,1,6.03,48.51
27,8,10,9,4,7.1,64.19
55,1,9,383,7,7.55,77.83
39,6,6,301,8,6.6,56.14
43,5,9,230,5,7.38,74.57
60,6,1,218,3,7.57,62.05
56,10,1,65,5,5.96,53.51
44,5,3,111,7,6.57,63.25
46,6,0,12,2,7.25,58.41
64,5,2,392,3,6.05,46.59
55,5,8,85,4,8.22,71.73
37,4,6,233,3,6.55,78.98
44,3,6,89,5,6.98,85.75
58,3,10,313,1,8.11,81.92
37,4,3,53,3,6.78,65.01
61,9,1,11,4,6.72,50.23
36,2,3,208,2,7.46,80.85
37,9,5,13,8,6.22,51.65
52,1,10,120,6,8.39,90.35
64,1,10,376,1,7.22,88.06
19,5,2,19,8,6.29,64.58
47,6,0,74,2,6.6,70.87
51,6,7,399,3,6.54,66.08
39,3,4,242,5,6.75,69.17
20,7,4,222,7,6.42,63.68
23,9,10,69,5,7.44,68.18
32,10,3,311,8,6.05,35.11
44,8,5,210,4,6.4,61.14
27,6,2,100,5,7.24,62.34
26,8,8,185,1,7.59,66.81
50,5,4,131,5,8.08,63.18
49,8,2,110,4,6.33,53.81
65,10,10,380,6,5.87,49.94
23,4,0,131,3,7.4,63.24
58,10,9,19,7,7.16,55.92
53,8,5,393,8,6.22,48.14
19,10,1,23,3,6.67,53.17
46,2,2,226,5,5.81,70.05
21,5,0,153,2,6.82,62.1
18,9,8,292,3,6.65,58.25
36,4,7,229,6,7.14,76.94
43,6,1,309,5,5.83,52.37
42,1,10,358,7,6.62,85.08
27,9,7,201,4,7.0,53.59
32,1,8,37,6,8.41,89.24
39,5,0,259,5,6.62,51.06
65,4,4,187,6,6.07,62.81
38,3,7,56,3,8.24,80.36
39,6,10,19,7,7.57,71.56
53,2,1,272,4,6.76,64.29
51,3,3,118,5,7.04,76.45
47,5,6,70,1,7.95,77.43
42,9,2,3,8,6.16,50.64
62,2,4,220,4,6.67,71.31
45,10,7,13,1,7.26,69.99
18,8,9,2,6,7.29,69.92
62,2,2,215,2,7.09,71.61
21,5,3,228,4,5.01,54.64
24,7,8,335,6,6.77,60.43
26,8,6,185,1,6.73,67.63
53,1,0,54,3,6.77,70.99
36,6,3,387,3,6.52,54.81
18,1,3,375,2,7.24,75.84
27,2,8,253,8,7.1,65.96
53,1,5,23,4,7.48,81.07
26,5,8,161,4,7.5,75.45
62,10,5,157,4,6.37,58.82
63,9,5,81,8,6.83,63.5
59,6,4,158,6,6.4,70.25
49,1,4,187,7,7.81,73.81
49,1,1,59,7,6.96,69.11
23,2,7,304,2,6.8,84.1
65,9,7,318,4,5.65,52.34
55,3,10,365,6,7.14,70.24
34,1,0,210,3,6.95,69.67
27,5,7,151,1,7.72,74.42
44,7,4,108,6,6.58,61.02
52,6,1,75,8,6.84,51.54
38,1,1,29,7,7.19,72.86
42,5,5,313,7,5.35,67.08
45,5,10,116,3,7.8,80.63
64,6,8,355,3,5.75,73.83
32,3,0,191,8,6.47,64.28
21,5,5,18,1,8.24,79.92
46,7,8,172,3,6.66,66.97
26,5,7,227,2,7.96,77.99
44,5,10,349,1,7.74,74.78
43,5,5,182,3,7.67,69.03
36,10,2,112,5,6.1,49.39
45,10,7,182,6,5.82,53.11
34,3,8,145,3,8.23,77.95
60,1,0,318,2,6.42,61.82
58,5,8,115,4,7.6,79.75
59,9,5,112,3,6.59,61.99
37,1,5,250,7,7.7,64.4
62,3,3,250,7,6.97,59.67
57,4,0,302,7,5.89,54.34
56,1,9,312,4,6.7,85.05
40,1,7,117,7,7.46,73.0
64,8,1,300,5,5.97,45.85
49,2,0,160,3,7.12,72.4
64,8,1,400,8,4.33,37.04
50,7,0,197,7,4.9,48.87
63,10,0,259,1,5.74,43.29
22,10,8,147,8,5.85,57.54
60,2,0,239,4,6.18,61.83
65,6,3,46,5,7.26,57.81
51,6,9,398,1,7.51,69.9
57,3,5,197,1,7.1,70.42
28,2,6,46,1,8.18,76.39
20,1,1,77,1,7.62,85.41
50,6,5,123,8,6.61,55.39
28,5,6,74,8,7.13,59.91
33,9,9,358,3,6.79,54.9
35,1,9,136,7,7.63,79.34
47,7,1,89,6,5.56,53.42
65,5,1,399,3,6.78,49.86
27,5,9,324,3,7.66,74.47
35,2,6,60,5,7.29,83.73
55,3,0,137,5,6.81,58.02
36,7,7,49,7,7.59,61.54
53,6,10,258,6,7.42,65.64
30,2,2,106,5,7.45,71.09
63,6,10,112,7,7.32,76.55
20,2,5,349,7,7.56,72.73
27,2,8,253,8,7.37,86.3
55,2,5,117,2,7.53,70.14
18,3,8,197,8,7.71,67.87
44,2,6,336,6,6.98,79.79
63,4,8,364,5,7.04,59.98
25,9,1,50,6,6.24,58.26
63,6,7,244,3,7.22,68.52
59,1,7,34,3,7.86,90.0
34,8,1,301,6,4.81,38.37
26,7,3,68,2,7.66,62.1
23,10,10,348,2,6.62,68.3
60,3,6,319,8,7.06,64.99
42,1,10,48,6,7.55,87.34
56,5,3,73,5,7.52,67.74
45,4,3,191,8,6.29,59.71
50,10,5,260,4,5.6,51.93
54,8,9,355,2,6.62,59.3
26,1,5,69,1,7.67,87.04
35,10,9,89,8,6.67,53.32
38,1,2,259,3,7.0,64.31
19,4,8,125,8,7.88,74.06
60,8,9,230,6,7.47,55.13
55,5,10,294,1,8.23,76.86
57,2,1,128,6,5.82,72.59
53,6,5,279,7,5.84,49.64
60,5,6,312,3,5.66,69.96
54,2,8,99,3,7.53,84.43
32,3,2,325,2,6.33,62.02
45,9,9,296,8,6.41,63.43
35,7,2,181,2,6.23,59.17
51,7,6,173,1,6.82,65.27
39,6,3,315,8,5.97,47.05
28,8,7,363,7,5.14,56.62
30,4,6,187,6,6.66,66.13
21,8,4,56,7,6.3,59.8
39,4,6,30,3,7.69,78.39
24,8,2,83,1,6.75,66.19
60,9,1,151,4,6.75,44.06
41,3,5,35,1,8.42,77.93
21,3,1,212,5,6.25,62.53
45,2,2,363,1,6.64,69.22
32,10,5,105,7,6.06,48.58
18,3,4,341,5,6.35,78.63
20,3,7,219,5,7.47,84.85
31,5,8,390,8,5.47,62.2
55,5,10,162,8,7.76,73.22
18,2,2,219,5,7.73,67.35
55,10,9,269,4,6.32,51.88
55,6,2,119,8,6.2,54.12
38,5,2,393,1,6.31,64.17
65,6,5,335,7,6.64,61.98
46,1,0,399,1,6.41,73.51
22,5,6,181,4,7.57,61.82
27,9,0,105,3,6.34,48.9
45,10,4,216,2,7.35,45.38
38,2,9,204,7,7.44,84.42
24,1,7,69,8,6.85,78.47
20,10,3,43,7,5.45,48.37
62,9,4,328,1,6.07,56.26
64,10,3,300,2,6.31,62.23
37,9,3,227,6,5.52,48.93
36,9,7,183,6,6.35,54.92
52,6,1,106,8,6.6,47.41
21,8,0,83,4,5.75,59.8
22,1,2,337,6,6.29,65.58
18,10,8,249,7,5.57,59.72
21,4,3,362,6,6.78,64.07
